full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
Maciek-roboblog/Claude-Code-Usage-Monitor,7984,7984,406,181,181,16,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,134820,134820,15909,10158,10158,1314,https://github.com/anthropics/skills
zstmfhy/Claude-code,189,189,285,-1,-1,0,https://github.com/zstmfhy/Claude-code
multica-ai/andrej-karpathy-skills,130574,130574,13266,130574,130574,13266,https://github.com/multica-ai/andrej-karpathy-skills
kodu-ai/claude-coder,5277,5277,201,-1,-1,2,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2361,2361,406,4,4,3,https://github.com/Yuyz0112/claude-code-reverse
anthropics/claude-code-security-review,4604,4604,441,209,209,38,https://github.com/anthropics/claude-code-security-review
Windy3f3f3f3f/how-claude-code-works,2364,2364,570,337,337,44,https://github.com/Windy3f3f3f3f/how-claude-code-works
RichardAtCT/claude-code-telegram,2596,2596,378,96,96,25,https://github.com/RichardAtCT/claude-code-telegram
fuergaosi233/claude-code-proxy,2595,2595,377,86,86,20,https://github.com/fuergaosi233/claude-code-proxy
alejandrobalderas/claude-code-from-source,1928,1928,581,117,117,22,https://github.com/alejandrobalderas/claude-code-from-source
ding113/claude-code-hub,2843,2843,319,177,177,20,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,215,215,212,4,4,3,https://github.com/fazxes/Claude-code
Cranot/claude-code-guide,2728,2728,303,97,97,14,https://github.com/Cranot/claude-code-guide
rohitg00/awesome-claude-code-toolkit,1676,1676,521,227,227,80,https://github.com/rohitg00/awesome-claude-code-toolkit
sickn33/antigravity-awesome-skills,37597,37597,6150,2271,2271,343,https://github.com/sickn33/antigravity-awesome-skills
AprilNEA/claude-code-source,379,379,615,6,6,4,https://github.com/AprilNEA/claude-code-source
luyao618/Claude-Code-Source-Study,1372,1372,507,124,124,22,https://github.com/luyao618/Claude-Code-Source-Study
anthropics/claude-code-base-action,827,827,604,25,25,3,https://github.com/anthropics/claude-code-base-action
SeemSeam/claude_codex_bridge,2577,2577,259,2577,2577,259,https://github.com/SeemSeam/claude_codex_bridge
https-deeplearning-ai/sc-claude-code-files,510,510,726,13,13,35,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,1007,1007,364,35,35,3,https://github.com/repowise-dev/claude-code-prompts
guanshan/ClaudeCode,59,59,214,2,2,-1,https://github.com/guanshan/ClaudeCode
luongnv89/claude-howto,32995,32995,4025,3630,3630,415,https://github.com/luongnv89/claude-howto
JrCx7scC/claude-code-source,367,367,542,6,6,6,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1432,1432,285,24,24,2,https://github.com/edmund-io/edmunds-claude-code
Yeachan-Heo/oh-my-claudecode,33942,33942,3116,2397,2397,195,https://github.com/Yeachan-Heo/oh-my-claudecode
Pimzino/claude-code-spec-workflow,3729,3729,264,33,33,5,https://github.com/Pimzino/claude-code-spec-workflow
carlvellotti/claude-code-pm-course,2015,2015,322,91,91,23,https://github.com/carlvellotti/claude-code-pm-course
AICoderTudou/claude-code-tudou,501,501,403,5,5,7,https://github.com/AICoderTudou/claude-code-tudou
Windy3f3f3f3f/claude-code-from-scratch,1195,1195,366,174,174,25,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
alirezarezvani/claude-skills,14921,14921,2024,2028,2028,321,https://github.com/alirezarezvani/claude-skills
andrew-kramer-inno/claude-code-source-build,589,589,521,8,8,4,https://github.com/andrew-kramer-inno/claude-code-source-build
ghuntley/claude-code-source-code-deobfuscation,977,977,553,4,4,-1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
snarktank/ralph,19112,19112,1899,1194,1194,123,https://github.com/snarktank/ralph
nanocoai/nanoclaw,28877,28877,12812,28877,28877,12812,https://github.com/nanocoai/nanoclaw
wshobson/agents,35435,35435,3857,1035,1035,132,https://github.com/wshobson/agents
feiskyer/claude-code-settings,1507,1507,219,35,35,1,https://github.com/feiskyer/claude-code-settings
router-for-me/CLIProxyAPI,32805,32805,5457,3668,3668,611,https://github.com/router-for-me/CLIProxyAPI
sugyan/claude-code-webui,1095,1095,241,40,40,-2,https://github.com/sugyan/claude-code-webui
darcyegb/ClaudeCodeAgents,694,694,63,694,694,63,https://github.com/darcyegb/ClaudeCodeAgents
anthropics/claude-plugins-official,19432,19432,2423,1422,1422,264,https://github.com/anthropics/claude-plugins-official
Hyper66666/claude-code-sourcemap,214,214,460,1,1,1,https://github.com/Hyper66666/claude-code-sourcemap
farion1231/cc-switch,71676,71676,4615,19090,19090,1216,https://github.com/farion1231/cc-switch
eyaltoledano/claude-task-master,27147,27147,2529,268,268,17,https://github.com/eyaltoledano/claude-task-master
centminmod/my-claude-code-setup,2290,2290,220,2290,2290,220,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1563,1563,251,1563,1563,251,https://github.com/lst97/claude-code-sub-agents
KPR111/Claude-Code,17,17,331,17,17,331,https://github.com/KPR111/Claude-Code
